Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
5.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
6.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
7.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
8.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
9.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
10.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
11.6	0.625	23.2245	0.52728	-0.46683	-0.40613	31.84389	-9.20646	72.77127	-28.5537	0.005
12.6	0.625	23.2245	0.81673	-0.29352	-0.49608	31.84389	-9.20646	72.77127	-28.5537	0.005
13.6	4.301	23.2245	0.90931	-0.04492	-0.21217	31.84389	-9.20646	72.77127	-28.5537	0.005
14.6	4.301	23.2245	0.91183	0.1444	-0.29647	-7.9401	-31.88918	69.09107	-28.5537	0.005
15.6	4.301	23.2245	0.57101	0.35757	-0.63243	-39.42355	-55.54084	76.57218	9.4122	34.325
16.6	4.301	23.2245	0.4835	0.36943	-0.71666	-45.88055	-62.4634	77.92399	9.4122	34.325
17.6	4.301	23.2245	0.54997	0.06953	-0.76392	-41.77537	-72.60616	75.43551	9.4122	34.325
18.6	4.301	23.2245	0.48931	0.05772	-0.79863	-40.19813	-76.28495	80.27342	9.4122	34.325
19.6	4.301	23.2245	0.53787	0.17606	-0.74777	-40.7656	-75.51022	77.99245	9.4122	34.325
20.6	4.301	23.2245	0.61212	0.14445	-0.72894	-39.3222	-75.57913	77.7179	9.4122	34.325
21.6	4.301	23.2245	0.77345	0.07724	-0.73942	-39.87723	-73.15647	71.77602	9.4122	34.325
22.6	4.301	23.2245	1.01084	-0.00159	-0.15558	-35.24262	-64.06414	59.57572	9.4122	34.325
23.6	4.301	23.2245	0.95139	-0.06852	0.02025	-34.34923	-53.29467	44.70444	9.4122	34.325
24.6	4.301	23.2245	1.08825	0.03399	0.12698	-37.36422	-45.1902	35.13639	9.4122	34.325
25.6	4.301	23.2245	1.08725	0.12476	0.19211	-41.55772	-40.77794	33.34367	11.2201	30.893
26.6	4.301	23.2245	0.98297	0.01446	0.37018	-38.69995	-36.54339	33.73346	11.2201	30.893
27.08	4.301	23.2245	1.00745	-0.06853	0.10741	-34.79704	-41.69261	36.60485	11.2201	30.893
27.33	4.301	23.2245	0.98136	-0.04093	0.01741	-35.65732	-44.81061	38.70385	11.2201	30.893
27.58	4.301	23.2245	1.04504	0.01031	0.024	-35.08869	-43.93232	39.25557	11.2201	30.893
27.83	4.301	23.2245	0.98769	0.00254	0.17987	-36.39184	-43.26717	39.64652	11.2201	30.893
28.08	4.301	23.2245	1.07489	0.06163	0.15901	-37.40164	-44.12113	40.57391	11.2201	30.893
28.33	4.301	23.2245	0.98606	0.0893	0.1072	-37.26194	-43.07368	40.36728	11.2201	30.893
28.58	4.301	23.2245	1.12643	0.09704	0.04354	-35.96215	-43.58699	40.41348	11.2201	30.893
28.83	4.301	23.2245	1.13017	0.04973	0.12859	-35.38756	-42.8617	40.08228	11.2201	30.893
29.08	4.301	23.2245	1.01793	0.01427	0.01896	-35.10498	-42.42178	40.65532	11.2201	30.893
29.33	4.301	23.2245	0.97391	-0.07247	0.05753	-33.52222	-40.69148	39.5367	11.2201	30.893
29.58	4.301	23.2245	0.98682	-0.1001	0.04575	-32.36868	-40.44544	39.24039	11.2201	30.893
29.83	4.301	23.2245	0.99675	-0.04883	0.03416	-31.93746	-41.06658	40.02459	11.2201	30.893
30.08	4.301	23.2245	0.95753	-0.05272	0.0651	-32.22299	-40.75358	39.25989	11.2201	30.893
30.33	4.301	23.2245	0.97475	-0.08037	0.03323	-30.63053	-41.28246	38.56767	11.2201	30.893
30.58	4.301	23.2245	1.05341	-0.02125	0.04851	-31.92028	-43.78009	39.58529	11.2201	30.893
30.83	4.301	23.2245	1.026	-0.0094	0.04349	-33.36912	-42.80681	39.95675	11.2201	30.893
31.08	4.301	23.2245	1.00336	-0.00939	0.01834	-32.65601	-41.48451	40.03912	11.2201	30.893
31.33	4.301	23.2245	1.0066	0.00245	0.0266	-33.08113	-42.06868	39.32384	11.2201	30.893
31.58	4.301	23.2245	0.98798	-0.03303	0.05415	-32.945	-41.16995	39.86878	11.2201	30.893
31.83	4.301	23.2245	0.98775	-0.01726	0.03799	-32.94272	-41.62194	39.89462	11.2201	30.893
32.08	4.301	23.2245	1.03415	-0.02518	0.05183	-32.51707	-40.2864	39.82388	11.2201	30.893
32.33	4.301	23.2245	1.02665	-0.04095	0.0677	-32.37998	-39.23779	40.06302	11.2201	30.893
32.58	4.301	23.2245	0.99243	-0.04881	0.05425	-33.09918	-39.35478	39.91173	11.2201	30.893
32.83	4.301	23.2245	1.00305	-0.02515	0.05879	-33.53342	-39.33356	40.20212	11.2201	30.893
33.08	4.301	23.2245	0.99868	-0.00937	0.05463	-33.39077	-39.03904	40.18716	11.2201	30.893
33.33	4.301	23.2245	1.0251	0.00245	0.06375	-33.38817	-39.04021	39.74139	11.2201	30.893
33.58	4.301	23.2245	1.01755	-0.00937	0.07559	-33.39035	-38.43795	39.55834	11.2201	30.893
33.83	4.301	23.2245	1.00601	-0.01331	0.0792	-32.81726	-38.61391	40.31895	11.2201	30.893
34.08	4.301	23.2245	1.0275	0.02219	0.09633	-32.52535	-38.47883	39.57191	11.2201	30.893
34.33	4.301	23.2245	0.99399	-0.02117	0.11114	-33.54516	-37.52442	40.54452	11.2201	30.893
34.58	4.301	23.2245	1.03255	-0.00938	0.0964	-33.831	-37.66224	40.25143	11.2201	30.893
34.83	4.301	23.2245	1.00215	-0.0133	0.07905	-33.10528	-38.14947	39.84281	9.4122	30.893
35.08	4.301	23.2245	0.99855	-0.02513	0.08698	-33.53757	-37.82848	39.52162	9.4122	30.893
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.893
35.33	4.301	23.2245	0.97964	-0.02907	0.07411	-33.68423	-37.67022	39.80792	9.4122	30.893
35.58	4.301	23.2245	1.01625	-0.00146	0.12014	-33.10798	-38.29857	40.44579	9.4122	30.893
35.83	4.301	23.2245	0.99391	-0.00934	0.09497	-32.96579	-37.40257	39.95059	9.4122	30.893
36.08	4.301	23.2245	1.01355	-0.02514	0.1078	-33.10528	-38.14947	39.84281	9.4122	30.893
36.33	4.301	23.2245	1.03296	-0.02515	0.10446	-32.95959	-38.45761	39.86231	9.4122	30.893
36.58	4.301	23.2245	1.00999	-0.0212	0.08742	-32.82204	-38.01048	40.58167	9.4122	30.893
36.83	4.301	23.2245	1.02588	-0.04487	0.10818	-32.2418	-37.88902	39.83916	9.4122	30.893
37.08	4.301	23.2245	1.02917	-0.01727	0.08814	-32.24516	-37.73718	40.27631	9.4122	30.893
37.65	23.6	23.2245	1.02135	-0.00543	0.07169	-32.81715	-38.46364	40.16175	9.4122	30.893
37.91	84.254	23.2245	0.27265	-0.01273	0.01156	-27.99621	-49.69044	39.52795	9.4122	30.893
38.17	0.625	23.2245	0.10292	-0.00865	-0.01496	-29.16532	-52.33462	44.71697	9.4122	30.893
38.41	60.36	23.2245	0.12009	0.02685	0.02227	-39.46915	-41.14753	46.32215	9.4122	30.893
1.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.893
2.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.893
3.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.893
4.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.893
5.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.893
6.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.035
7.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.035
8.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.035
9.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.035
10.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.035
11.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.035
12.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.035
13.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	30.035
14.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-11.16465	-27.95749	74.62093	9.4122	30.035
15.5	0.625	0.641	-0.0151	-0.0559	-0.0195	-43.48074	-34.08755	85.10338	9.4122	30.035
16.6	0.625	23.2245	0.24574	-0.3399	0.5523	-47.82043	-40.99967	69.39043	9.4122	30.035
17.61	0.625	23.2245	0.60574	-0.00087	0.66005	-36.01334	-44.04921	99.14543	9.4122	30.035
18.61	0.625	23.2245	0.7717	0.06996	0.55705	-22.75029	-36.65082	116.73003	9.4122	30.035
19.61	0.625	23.2245	0.6071	-0.52181	0.26516	-39.18784	-54.11989	109.04259	9.4122	30.035
