Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
550	0	0	0	0	0	0	0	0	0	0
650	0	0	0	0	0	0	0	0	0	0
750	0	0	0	0	0	0	0	0	0	0
850	0	0	0	0	0	0	0	0	0	0
961	0	352	0	0	0	0	0	0	0	0
1061	0	352	0	0	0	0	0	0	0	0
1161	0	352	200	7	3	110	-325	-226	0	0
1261	0	352	251	9	4	191	-565	-398	0	0
1361	0	352	264	10	4	210	-630	-437	0	0
1461	0	352	267	9	4	216	-647	-446	0	0
1561	0	352	266	8	4	221	-647	-452	21	37
1661	0	352	267	9	4	219	-649	-456	21	37
1761	0	352	267	10	3	219	-649	-455	21	37
1861	0	352	268	10	4	219	-649	-456	21	37
1961	0	352	268	9	4	221	-649	-454	21	37
2061	0	352	267	9	4	221	-650	-455	21	37
2161	0	352	267	9	4	219	-650	-455	21	37
2261	0	352	267	9	5	219	-655	-451	21	37
2361	0	352	267	10	4	221	-650	-454	21	37
2461	0	352	267	10	4	218	-651	-453	21	37
2561	0	352	267	10	5	215	-651	-453	21	37
2661	0	352	267	10	4	219	-651	-452	21	37
2761	0	352	267	10	3	220	-648	-453	21	37
2861	0	352	266	10	3	218	-653	-449	21	37
2961	0	352	268	10	4	223	-651	-454	21	37
3062	0	352	267	10	4	225	-651	-452	21	37
3162	0	352	266	9	4	220	-650	-451	21	37
3262	0	352	266	10	4	216	-654	-454	21	37
3362	0	352	267	9	4	219	-653	-452	21	37
3462	0	352	267	9	4	216	-649	-450	21	37
3562	0	352	267	10	4	218	-652	-453	21	37
3662	0	352	267	10	4	219	-650	-454	21	37
3762	0	352	268	10	4	221	-654	-453	21	37
3862	0	352	267	10	5	220	-650	-453	21	37
3962	0	352	268	10	4	222	-649	-456	21	37
4062	0	352	267	10	5	220	-649	-451	21	37
4162	0	352	269	9	4	219	-648	-450	21	37
4262	0	352	267	9	4	221	-652	-453	21	37
4362	0	352	267	10	4	219	-652	-455	21	37
4462	0	352	267	10	4	218	-651	-455	21	37
4562	0	352	268	10	3	219	-653	-448	21	36
4662	0	352	268	10	3	222	-653	-453	21	36
4762	0	352	267	10	4	221	-650	-453	21	36
4862	0	352	267	10	4	222	-651	-451	21	36
4962	0	352	268	10	3	220	-649	-451	21	36
5062	0	352	267	10	3	222	-651	-454	21	36
5162	0	352	266	10	4	220	-651	-451	21	36
5262	0	352	267	11	4	221	-652	-453	21	36
5362	0	352	265	11	5	220	-656	-455	21	36
5462	0	352	266	10	4	219	-653	-454	21	36
5562	0	352	267	11	5	221	-648	-453	21	36
