Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	32.609
8.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	32.609
9.5	4.301	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	32.609
10.6	4.301	21.783	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	32.609
11.6	4.301	21.783	0.75173	0.10507	-0.33495	18.50518	-31.26802	32.24338	9.4122	32.609
12.6	4.301	21.783	0.92508	0.06157	-0.23145	15.21164	-43.4134	-9.76067	9.4122	32.609
13.6	4.301	22.2635	1.01443	0.01427	0.00263	22.62071	-37.32249	-25.32046	9.4122	32.609
14.6	4.301	22.2635	1.03259	0.03793	0.01554	23.36854	-37.21838	-30.07264	9.4122	32.609
15.6	4.301	21.783	1.00722	-0.02122	0.0387	25.38104	-38.21306	-28.2062	9.4122	32.609
16.6	4.301	22.2635	1.02442	0.01823	0.06784	23.54429	-44.15416	-29.07975	9.4122	32.609
17.6	4.301	22.2635	0.95303	-0.05271	0.0933	-23.37753	-29.43291	-29.78706	9.4122	32.609
18.6	4.301	22.2635	0.99966	-0.03304	0.05053	-244.94231	301.68062	186.36972	9.4122	32.609
21.6	4.301	22.2635	1.00261	-0.00149	0.0386	-697.42725	-909.12506	-991.66143	9.4122	32.609
26.6	4.301	22.2635	1.0151	-0.02517	0.03897	71.26352	-492.84733	-506.22159	9.4122	32.609
27.6	4.301	22.2635	1.01491	-0.02517	0.04707	-59.51335	-143.95682	-129.38721	9.4122	32.609
28.6	4.301	22.2635	1.01476	-0.02122	0.04708	-91.66785	-56.19563	-35.53677	9.4122	32.609
29.6	4.301	22.2635	1.01866	-0.01728	0.03913	-100.1383	-34.19762	-12.23168	9.4122	32.609
30.6	4.301	22.2635	1.01476	-0.02122	0.04708	-102.07089	-29.57314	-6.42735	9.4122	32.609
31.6	4.301	22.2635	1.01479	-0.0291	0.05921	-101.94149	-28.37075	-5.0081	9.4122	32.609
32.6	4.301	22.2635	1.01476	-0.02122	0.04708	-103.24323	-28.1572	-4.44272	9.4122	32.609
33.6	4.301	22.2635	1.0109	-0.02122	0.04694	-102.66884	-27.73246	-4.45951	9.4122	32.609
34.6	4.301	22.2635	1.01476	-0.02122	0.04708	-103.10179	-27.11054	-4.94653	9.4122	32.609
35.6	4.301	22.2635	1.01491	-0.02517	0.04707	-102.52186	-27.4399	-5.21743	9.4122	32.609
36.6	4.301	22.2635	1.01878	-0.02517	0.04721	-103.10134	-27.71203	-4.4663	9.4122	32.609
37.6	4.301	22.2635	1.01491	-0.02517	0.04707	-103.25016	-28.15408	-3.254	9.4122	32.609
38.6	4.301	22.2635	1.01476	-0.02122	0.04708	-103.68755	-27.68048	-2.84086	9.4122	32.609
39.6	4.301	22.2635	1.0109	-0.02122	0.04694	-102.96433	-28.01627	-2.96091	9.4122	32.609
40.6	4.301	22.2635	1.01114	-0.02516	0.04288	-103.68343	-27.98298	-3.2694	9.4122	32.609
41.6	4.301	22.2635	0.96591	-0.02909	-0.00338	-47.42639	-34.56275	-4.24337	9.4122	32.609
42.6	4.301	22.2635	0.97179	-0.04885	-0.05996	-32.81448	-25.74557	3.17135	9.4122	32.609
43.6	4.301	22.2635	0.83313	-0.02091	0.38476	-28.1304	-4.68408	20.90453	9.4122	32.609
44.6	4.301	22.2635	0.63373	0.05042	0.70584	-24.67147	4.53083	37.21764	9.4122	32.609
45.6	4.301	22.2635	0.7618	0.08184	0.63371	-4.28652	63.94973	-102.49579	9.4122	32.609
46.6	4.301	22.2635	0.83153	0.04228	0.5227	-0.48881	194.73812	-207.41279	9.4122	32.609
47.6	4.301	22.2635	0.8705	0.0383	0.51602	-0.51291	227.21832	-233.34506	9.4122	32.609
48.6	4.301	22.2635	0.88222	0.04223	0.50431	-1.2359	236.57326	-241.61713	9.4122	32.609
49.6	4.301	22.2635	0.88599	0.04223	0.5085	-2.38505	238.8807	-244.43906	9.4122	32.609
50.6	4.301	22.2635	0.88609	0.04222	0.50446	-2.09117	238.11298	-244.68865	9.4122	33.467
51.6	4.301	22.2635	0.88618	0.04222	0.50041	-2.37625	237.82449	-244.97312	9.4122	33.467
52.6	4.301	22.2635	0.89007	0.04616	0.49246	-3.08828	236.80235	-245.51849	9.4122	33.467
53.6	4.301	22.2635	0.85437	0.08145	-0.04356	9.36531	13.05702	-72.95692	9.4122	33.467
54.6	4.301	22.2635	0.8257	0.25511	0.08162	-13.21963	-20.05267	-0.61475	9.4122	33.467
55.6	4.301	22.2635	0.63368	0.54342	0.39973	-37.59637	-11.02092	18.61684	9.4122	33.467
56.6	4.301	22.2635	0.60583	0.62632	0.46788	-43.81342	-11.47153	22.27738	9.4122	33.467
57.6	4.301	22.2635	0.59795	0.63027	0.4676	-45.11571	-10.80678	22.51974	9.4122	33.467
58.6	4.301	22.2635	0.59775	0.63816	0.46357	-45.25596	-11.40302	22.40335	9.4122	33.467
59.6	4.301	22.2635	0.73313	0.49203	0.3627	-39.71902	-19.65528	19.8255	9.4122	33.467
