Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
342.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
343.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
344.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
345.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
346.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
347.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
348.6	4.301	22.744	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
349.6	4.301	22.744	0.49787	-0.03659	0.0117	31.84389	-9.20646	72.77127	-28.5537	0.005
350.6	4.301	22.744	0.88355	-0.02112	0.03412	-7.3729	-33.83207	22.98754	-28.5537	0.005
351.6	4.301	22.744	0.98364	-0.01331	0.0419	-17.50292	-39.55911	10.40139	-28.5537	0.005
352.6	4.301	22.744	1.01084	-0.01727	0.0429	-19.92401	-41.56117	7.21456	9.4122	29.177
353.6	4.301	22.744	1.01471	-0.01728	0.04304	-21.06899	-41.96139	6.18217	9.4122	29.177
354.6	4.301	22.744	1.01848	-0.01728	0.04723	-21.07072	-41.96061	6.47935	9.4122	29.177
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	9.4122	29.177
355.6	4.301	22.744	1.01462	-0.01727	0.04709	-21.35666	-42.2487	6.34347	9.4122	29.177
356.6	4.301	22.744	1.01848	-0.01728	0.04723	-21.64565	-41.93414	6.17312	9.4122	29.177
357.6	4.301	22.744	1.01848	-0.01728	0.04723	-20.63985	-41.82999	6.62611	9.4122	29.177
358.6	4.301	22.744	1.01462	-0.01727	0.04709	-20.92818	-41.81637	6.62159	9.4122	29.177
359.6	4.301	22.744	1.02235	-0.01728	0.04737	-21.35982	-41.79632	6.46621	9.4122	29.177
360.6	4.301	22.744	1.01857	-0.01728	0.04318	-20.49818	-41.68536	6.91694	9.4122	29.177
361.6	4.301	22.744	1.01857	-0.01728	0.04318	-21.21131	-41.80508	5.72553	9.4122	29.177
362.6	4.301	22.744	1.01462	-0.01727	0.04709	-21.06812	-41.96178	6.03358	9.4122	29.177
363.6	4.301	22.744	1.01848	-0.01728	0.04723	-20.92503	-42.26875	6.49884	9.4122	29.177
364.6	4.301	22.744	1.01462	-0.01727	0.04709	-20.78107	-42.57611	6.81551	9.4122	29.177
365.6	4.301	22.744	1.01848	-0.01728	0.04723	-21.07017	-42.41182	6.80237	9.4122	29.177
366.6	4.301	22.744	1.01447	-0.01333	0.0471	-21.21347	-42.4054	6.65152	9.4122	29.177
367.6	4.301	22.744	1.01462	-0.01727	0.04709	-21.50593	-42.08927	7.07554	9.4122	29.177
368.6	4.301	22.744	1.01462	-0.01727	0.04709	-21.50312	-41.78989	6.31536	9.4122	29.177
369.6	4.301	22.744	1.01857	-0.01728	0.04318	-21.35645	-41.94815	6.02906	9.4122	29.177
370.6	4.301	22.744	1.01857	-0.01728	0.04318	-20.78249	-42.12451	6.64108	9.4122	29.177
371.6	4.301	22.744	1.01857	-0.01728	0.04318	-21.0692	-42.26194	6.49658	9.4122	29.177
372.6	4.301	22.744	1.01471	-0.01728	0.04304	-20.92839	-42.11691	6.936	9.4122	29.177
373.6	4.301	22.744	1.01471	-0.01728	0.04304	-21.06878	-41.66084	5.86776	9.4122	29.177
374.6	4.301	22.744	1.01857	-0.01728	0.04318	-20.78173	-42.27517	6.6497	9.4122	29.177
375.06	4.301	22.744	1.01471	-0.01728	0.04304	-21.21489	-41.95379	6.47709	9.4122	29.177
375.31	4.301	22.744	1.01471	-0.01728	0.04304	-21.21368	-42.70594	6.96593	9.4122	29.177
375.57	4.301	22.744	1.01857	-0.01728	0.04318	-21.5017	-42.2415	6.48979	9.4122	29.177
375.82	4.301	22.744	1.01857	-0.01728	0.04318	-20.92351	-42.57008	6.51607	9.4122	29.177
376.07	4.301	22.744	1.01495	-0.02122	0.03898	-21.21174	-42.40618	6.35434	9.4122	29.177
376.32	4.301	22.744	1.01486	-0.02122	0.04303	-20.9259	-42.26836	6.64743	9.4122	29.177
376.56	4.301	22.744	1.01848	-0.01728	0.04723	-20.77989	-42.12568	6.19531	9.4122	29.177
