Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
8.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
9.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
10.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
11.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
12.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
13.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
14.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
15.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
16.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
17.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
18.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
19.6	0.625	23.2245	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	11.2201	31.751
20.6	0.625	23.2245	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	11.2201	31.751
21.6	0.625	22.744	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	11.2201	31.751
22.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	11.2201	31.751
23.5	0.625	0.641	0.23545	0.66201	0.195	31.84389	-9.20646	72.77127	11.2201	31.751
24.5	0.625	0.641	0.30111	0.83951	0.24671	31.84389	-9.20646	72.77127	11.2201	31.751
25.6	0.625	22.744	0.31451	0.88684	0.25953	31.84389	-9.20646	72.77127	11.2201	31.751
26.61	120.095	23.2245	0.3179	0.89474	0.26779	31.84389	-9.20646	72.77127	11.2201	31.751
27.61	116.419	22.744	0.32161	0.89868	0.26794	31.84389	-9.20646	72.77127	11.2201	31.751
28.61	117.338	22.744	0.31751	0.90263	0.27186	31.84389	-9.20646	72.77127	11.2201	31.751
29.61	115.5	23.2245	0.31784	0.89868	0.26375	31.84389	-9.20646	72.77127	11.2201	31.751
30.61	116.419	23.2245	0.32147	0.90262	0.26795	31.84389	-9.20646	72.77127	11.2201	31.751
31.61	116.419	23.2245	0.32147	0.90262	0.26795	31.84389	-9.20646	72.77127	11.2201	31.751
32.61	116.419	22.744	0.32518	0.90657	0.2681	31.84389	-9.20646	72.77127	11.2201	31.751
33.62	116.419	22.744	0.32123	0.90657	0.27201	31.84389	-9.20646	72.77127	11.2201	31.751
34.62	115.5	22.744	0.32147	0.90262	0.26795	31.84389	-9.20646	72.77127	11.2201	31.751
35.62	116.419	23.2245	0.32147	0.90262	0.26795	31.84389	-9.20646	72.77127	11.2201	31.751
36.62	117.338	22.744	0.32147	0.90262	0.26795	31.84389	-9.20646	72.77127	11.2201	31.751
37.62	115.5	23.2245	0.3176	0.90263	0.26781	31.84389	-9.20646	72.77127	11.2201	31.751
38.65	117.338	23.2245	0.31745	0.90657	0.26782	31.84389	-9.20646	72.77127	11.2201	31.751
39.66	116.419	22.744	0.32147	0.90262	0.26795	31.84389	-9.20646	72.77127	11.2201	31.751
40.66	114.581	22.744	0.31751	0.90263	0.27186	31.84389	-9.20646	72.77127	11.2201	31.751
41.69	116.419	23.2245	0.32542	0.90262	0.26404	31.84389	-9.20646	72.77127	11.2201	31.751
42.69	118.257	22.744	0.32156	0.90262	0.2639	31.84389	-9.20646	72.77127	11.2201	31.751
43.69	116.419	22.744	0.32542	0.90262	0.26404	31.84389	-9.20646	72.77127	11.2201	31.751
44.69	116.419	22.744	0.3176	0.90263	0.26781	31.84389	-9.20646	72.77127	11.2201	31.751
45.7	116.419	22.744	0.32147	0.90262	0.26795	31.84389	-9.20646	72.77127	11.2201	31.751
