Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
17366	0	0	0	0	0	0	0	0	8	87
150	0	0	0	0	0	0	0	0	0	0
250	0	0	0	0	0	0	0	0	0	0
354	0	0	0	0	0	0	0	0	0	0
456	0	0	0	0	0	0	0	0	0	0
556	0	0	0	0	0	0	0	0	8	88
656	0	0	0	0	0	0	0	0	8	88
756	0	0	0	0	0	0	0	0	8	88
856	0	0	0	0	0	-191	-234	-413	8	88
961	0	0	0	0	0	-241	-293	-516	8	88
1066	0	0	0	0	0	-255	-306	-541	8	88
1168	0	0	0	0	0	-255	-308	-550	8	88
1271	0	0	0	0	0	-259	-306	-553	8	88
1376	0	0	0	0	0	-258	-308	-553	8	88
1480	0	0	0	0	0	-256	-309	-555	8	88
1585	0	0	0	0	0	-255	-310	-553	8	88
1690	0	0	0	0	0	-255	-310	-553	8	88
150	0	0	0	0	0	0	0	0	9	88
250	0	0	0	0	0	0	0	0	9	88
350	0	0	0	0	0	0	0	0	9	88
450	0	0	0	0	0	-134	-144	-273	9	88
554	0	0	0	0	0	-231	-252	-482	9	88
665	0	144	0	0	0	-258	-278	-535	9	87
769	5	144	0	0	0	-266	-285	-549	9	87
882	5	144	0	0	0	-269	-287	-552	9	87
983	5	144	0	0	0	-267	-285	-552	9	87
1082	5	144	0	0	0	-267	-288	-552	9	87
1183	5	144	0	0	0	-268	-288	-548	9	87
1298	5	144	0	0	0	-270	-289	-550	9	87
1411	5	144	0	0	0	-268	-287	-548	9	87
1526	5	144	0	0	0	-268	-285	-550	9	87
1626	5	144	0	0	0	-265	-288	-549	9	87
1727	5	144	0	0	0	-268	-288	-550	9	87
1827	5	144	0	0	0	-271	-289	-549	9	87
1942	5	144	0	0	0	-269	-287	-550	9	87
2042	5	144	0	0	0	-268	-287	-553	9	87
2142	5	144	0	0	0	-269	-287	-551	9	87
2258	5	144	0	0	0	-266	-287	-553	9	87
2365	5	144	0	0	0	-268	-288	-551	9	87
2464	5	144	0	0	0	-270	-286	-555	9	87
2565	5	144	0	0	0	-267	-287	-550	9	87
2680	5	144	0	0	0	-271	-288	-555	9	87
2780	5	144	0	0	0	-268	-293	-556	9	87
2882	5	144	0	0	0	-115	-196	-552	9	87
2995	5	144	0	0	0	-65	-178	-557	9	87
3111	5	144	0	0	0	-25	-91	-520	9	87
3231	5	144	0	0	0	48	-86	-453	9	87
3333	5	144	0	0	0	76	-96	-429	9	87
3435	5	144	0	0	0	55	-92	-449	9	87
3551	5	144	0	0	0	55	-124	-469	9	87
3666	5	144	0	0	0	62	-147	-469	9	87
3781	5	144	0	0	0	64	-135	-460	9	87
3897	5	144	0	0	0	39	-72	-464	9	87
3999	5	144	0	0	0	58	-68	-441	9	87
4101	5	144	0	0	0	24	-44	-461	9	87
4217	5	144	0	0	0	9	-37	-473	9	87
4332	5	144	0	0	0	4	-36	-467	9	87
4454	5	144	0	0	0	6	-35	-470	9	87
4563	5	144	0	0	0	-68	-28	-520	9	87
4674	5	144	0	0	0	-112	-23	-536	9	87
4789	5	144	0	0	0	-116	-24	-537	9	87
4905	5	144	0	0	0	-125	-23	-534	9	87
5012	5	144	0	0	0	-131	-19	-540	9	87
5117	5	144	0	0	0	-130	-19	-537	9	87
5220	5	144	0	0	0	-147	-16	-534	9	87
5335	5	144	0	0	0	-208	0	-529	9	87
5445	5	144	0	0	0	-262	-26	-536	9	87
5548	5	144	0	0	0	-289	-46	-542	9	87
5667	5	144	0	0	0	-317	-68	-529	9	87
5769	5	144	0	0	0	-326	-78	-524	9	87
5872	5	144	0	0	0	-324	-77	-524	9	87
