Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
34250	0	0	0	0	0	0	0	0	0	0
34350	0	0	0	0	0	0	0	0	0	0
34450	0	0	0	0	0	0	0	0	0	0
34550	0	0	0	0	0	0	0	0	0	0
34650	0	0	0	0	0	0	0	0	0	0
34750	0	0	0	0	0	0	0	0	0	0
34860	4	368	0	0	0	0	0	0	0	0
34960	4	368	133	5	3	0	0	0	0	0
35060	4	368	233	9	5	-275	-175	-341	0	0
35160	4	368	259	11	6	-346	-216	-427	0	0
35260	4	368	266	10	6	-363	-230	-449	21	34
35360	4	368	267	10	6	-371	-233	-456	21	34
35460	4	368	268	10	7	-371	-233	-454	21	34
0	0	0	0	0	0	0	0	0	21	34
35560	4	368	267	10	7	-373	-235	-455	21	34
35660	4	368	268	10	7	-375	-233	-456	21	34
35760	4	368	268	10	7	-368	-232	-453	21	34
35860	4	368	267	10	7	-370	-232	-453	21	34
35960	4	368	269	10	7	-373	-232	-454	21	34
36060	4	368	268	10	6	-367	-231	-451	21	34
36160	4	368	268	10	6	-372	-232	-459	21	34
36260	4	368	267	10	7	-371	-233	-457	21	34
36360	4	368	268	10	7	-370	-235	-454	21	34
36460	4	368	267	10	7	-369	-237	-452	21	34
36560	4	368	268	10	7	-371	-236	-452	21	34
36660	4	368	267	11	7	-372	-236	-453	21	34
36760	4	368	267	10	7	-374	-234	-450	21	34
36860	4	368	267	10	7	-374	-232	-455	21	34
36960	4	368	268	10	6	-373	-233	-457	21	34
37060	4	368	268	10	6	-369	-234	-453	21	34
37160	4	368	268	10	6	-371	-235	-454	21	34
37260	4	368	267	10	6	-370	-234	-451	21	34
37360	4	368	267	10	6	-371	-231	-458	21	34
37460	4	368	268	10	6	-369	-235	-453	21	34
37506	4	368	267	10	6	-372	-233	-454	21	34
37531	4	368	267	10	6	-372	-238	-451	21	34
37557	4	368	268	10	6	-374	-235	-454	21	34
37582	4	368	268	10	6	-370	-237	-454	21	34
37607	4	368	267	9	5	-372	-236	-455	21	34
37632	4	368	267	9	6	-370	-235	-453	21	34
37656	4	368	268	10	7	-369	-234	-456	21	34
37681	4	368	267	11	6	-366	-236	-457	21	34
37706	4	368	267	10	6	-370	-234	-456	21	34
37732	4	368	267	10	6	-376	-234	-456	21	34
