Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
29.5	0.625	0.641	1.01495	-0.02122	0.03898	51.49518	-70.66394	22.43762	9.4122	28.319
30.5	0.625	0.641	1.01527	-0.037	0.05109	51.20782	-70.50043	22.12731	9.4122	28.319
28.5	0.625	0.641	1.00692	-0.01333	0.03871	51.35101	-70.65713	22.43536	9.4122	28.319
29.5	0.625	0.641	1.01495	-0.02122	0.03898	51.49518	-70.66394	22.43762	9.4122	28.319
30.5	0.625	0.641	1.01527	-0.037	0.05109	51.20782	-70.50043	22.12731	9.4122	28.319
33.5	0.625	0.641	1.01504	-0.02123	0.03493	51.35167	-70.95807	22.60118	-28.5537	0.005
34.5	0.625	0.641	1.01495	-0.02122	0.03898	51.63848	-70.67037	22.58848	-28.5537	0.005
35.5	0.625	0.641	1.0148	-0.01728	0.03899	51.21087	-71.10309	22.16176	-28.5537	0.005
36.5	0.625	0.641	1.01486	-0.02122	0.04303	51.64021	-70.67115	22.2913	-28.5537	0.005
37.46	0.625	0.641	1.01495	-0.02122	0.03898	51.06312	-71.24499	22.91106	-28.5537	0.005
37.71	0.625	0.641	1.01504	-0.02123	0.03493	50.77739	-71.23253	22.46077	-28.5537	0.005
37.96	0.625	0.641	1.01504	-0.02123	0.03493	51.20674	-70.80059	22.5903	-28.5537	0.005
38.21	0.625	0.641	1.01881	-0.02123	0.03912	50.92101	-70.78813	22.14001	-28.5537	0.005
38.46	0.625	0.641	1.0189	-0.02123	0.03508	51.3507	-71.10795	22.90697	-28.5537	0.005
38.71	0.625	0.641	1.01495	-0.02122	0.03898	51.06008	-70.64233	22.87661	-28.5537	0.005
38.96	0.625	0.641	1.01495	-0.02122	0.03898	51.34862	-70.35541	22.56672	-28.5537	0.005
39.21	0.625	0.641	1.01872	-0.02122	0.04317	51.06486	-71.24577	22.61388	-28.5537	0.005
39.46	0.625	0.641	1.01495	-0.02122	0.03898	50.91927	-70.78735	22.43719	-28.5537	0.005
39.72	0.625	0.641	1.01495	-0.02122	0.03898	50.77098	-70.47804	22.86347	-28.5537	0.005
39.97	4.301	0.641	1.01504	-0.02123	0.03493	50.9208	-71.08868	22.45442	-28.5537	0.005
40.22	4.301	0.641	1.01495	-0.02122	0.03898	51.21294	-71.85563	22.50201	-28.5537	0.005
40.47	4.301	0.641	1.01881	-0.02123	0.03912	51.0642	-70.94483	22.44807	-28.5537	0.005
40.72	4.301	0.641	1.01495	-0.02122	0.03898	50.91841	-70.78696	22.58578	-28.5537	0.005
41.07	4.301	22.2635	1.0189	-0.02123	0.03508	50.92166	-71.08907	22.30583	-28.5537	0.005
41.32	4.301	22.2635	1.01881	-0.02123	0.03912	51.64555	-71.72579	22.3516	-28.5537	0.005
41.57	4.301	22.2635	1.01495	-0.02122	0.03898	50.92471	-71.69173	22.34029	-28.5537	0.005
41.82	4.301	22.2635	1.01495	-0.02122	0.03898	50.92427	-71.09024	21.86006	-28.5537	0.005
42.07	4.301	22.2635	1.01495	-0.02122	0.03898	51.21575	-71.55625	21.74184	-28.5537	0.005
42.32	4.301	22.2635	1.0151	-0.02517	0.03897	51.50311	-71.71976	22.05216	-28.5537	0.005
42.57	4.301	22.2635	1.01881	-0.02123	0.03912	51.21152	-71.40403	22.32758	-28.5537	0.005
42.82	4.301	22.2635	1.01495	-0.02122	0.03898	51.49844	-70.96605	22.15767	-28.5537	0.005
43.07	4.301	22.2635	1.0148	-0.01728	0.03899	51.7858	-71.12956	22.46799	9.4122	29.177
