Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
18750	0	0	0	0	0	0	0	0	0	0
18850	0	0	0	0	0	0	0	0	0	0
18950	0	0	0	0	0	0	0	0	0	0
19050	0	0	0	0	0	0	0	0	0	0
19160	4	360	0	0	0	0	0	0	0	0
19260	4	360	134	5	2	0	0	0	0	0
19360	4	360	234	7	4	-138	-411	173	0	0
19460	4	360	259	8	3	-171	-515	214	0	0
19560	4	360	265	9	4	-183	-541	225	0	0
19660	4	360	267	9	5	-181	-550	232	21	34
19760	4	360	268	8	5	-182	-550	230	21	34
19860	4	360	268	9	4	-181	-549	231	21	34
19960	4	360	268	9	4	-183	-551	229	21	34
20060	4	360	268	8	4	-182	-554	231	21	34
20160	4	360	267	9	4	-181	-550	232	21	34
20260	4	360	267	9	4	-184	-552	232	21	34
20360	4	360	267	9	4	-181	-552	234	21	34
20460	4	360	267	9	4	-185	-550	230	21	34
20560	4	360	268	9	4	-178	-549	229	21	34
20660	4	360	267	10	4	-183	-551	229	21	34
20760	4	360	268	9	4	-184	-554	232	21	34
20860	4	360	268	8	4	-184	-549	224	21	34
20960	4	360	267	9	4	-181	-552	225	21	34
21060	4	360	267	10	4	-183	-550	230	21	34
21160	4	360	270	9	4	-182	-550	234	21	34
21260	4	360	268	8	4	-184	-551	227	21	34
21360	4	360	268	8	3	-183	-549	231	21	34
21460	4	360	267	9	3	-184	-550	232	21	34
21560	4	360	268	9	3	-184	-552	230	21	34
21660	4	360	266	10	3	-181	-547	229	21	34
21760	4	360	267	10	3	-187	-547	231	21	34
21860	4	360	267	11	5	-182	-548	229	21	34
21960	4	360	267	9	4	-182	-549	233	21	34
22060	4	360	267	8	4	-182	-548	228	21	34
22160	4	360	267	9	4	-182	-550	226	21	34
22260	4	360	267	9	4	-186	-555	223	21	34
22360	4	360	267	10	4	-183	-554	223	21	34
22460	4	360	267	9	5	-185	-550	230	21	34
22560	4	360	267	9	4	-185	-550	227	21	34
22660	4	360	268	9	4	-183	-552	226	21	34
22760	4	360	267	9	4	-183	-551	229	21	34
22860	4	360	267	9	4	-183	-552	233	21	34
22960	4	360	268	9	3	-185	-549	227	21	34
23060	4	360	269	9	4	-180	-548	227	21	34
23160	4	360	268	10	4	-180	-552	228	21	34
23260	4	360	268	9	3	-181	-550	228	21	34
23360	4	360	267	10	6	-182	-550	228	21	34
23460	4	360	267	9	4	-183	-548	225	21	34
23560	4	360	267	10	4	-179	-545	227	21	34
23660	4	360	269	8	5	-180	-549	234	21	33
0	0	0	0	0	0	0	0	0	21	33
23760	4	360	268	9	4	-184	-545	232	21	33
23860	4	360	268	9	4	-184	-548	231	21	33
23960	4	360	268	9	4	-183	-550	232	21	33
24060	4	360	268	9	4	-177	-551	227	21	33
24160	4	360	268	9	4	-181	-549	229	21	33
24260	4	360	268	9	4	-184	-549	229	21	33
24360	4	360	268	9	4	-181	-548	227	21	33
24460	4	360	268	9	4	-178	-548	232	21	33
24560	4	360	267	9	5	-181	-548	231	21	33
24660	4	360	268	9	4	-180	-549	230	21	33
24760	4	360	268	9	4	-182	-550	232	21	33
24860	4	360	268	10	4	-181	-547	235	21	33
24960	4	360	267	10	3	-176	-547	235	21	33
25060	4	360	267	10	4	-183	-547	231	21	33
25160	4	360	267	9	5	-181	-547	229	21	33
25260	4	360	268	9	5	-183	-550	229	21	33
25360	4	360	267	9	4	-177	-551	230	21	33
25460	4	360	268	9	4	-180	-548	231	21	33
25560	4	360	268	9	4	-180	-545	230	21	33
25660	4	360	267	9	4	-182	-548	230	21	33
25760	4	360	267	10	4	-184	-549	228	21	33
25860	4	360	268	9	4	-185	-550	231	21	33
25960	4	360	267	9	4	-182	-550	230	21	33
26060	4	360	267	9	5	-182	-547	231	21	33
26160	4	360	268	9	4	-182	-552	231	21	33
26223	4	360	267	10	5	-182	-549	236	21	33
26248	4	360	267	10	3	-181	-551	230	21	33
26273	4	360	267	9	3	-182	-549	228	21	33
26298	4	360	268	11	3	-181	-553	229	21	33
26323	4	360	268	10	4	-184	-548	230	21	33
26348	4	360	268	9	5	-183	-548	232	21	33
26373	4	360	268	8	5	-184	-549	228	21	33
26398	4	360	267	8	5	-184	-551	231	21	33
26423	4	360	267	8	3	-182	-548	225	21	33
26448	4	360	267	10	4	-181	-550	231	21	33
26473	4	360	268	10	4	-179	-551	233	21	33
26498	4	360	269	11	4	-176	-547	230	21	33
26523	4	360	268	10	4	-180	-548	229	21	33
26548	4	360	267	9	4	-180	-551	233	21	33
26573	4	360	267	9	4	-180	-549	228	21	33
26598	4	360	267	10	3	-184	-551	229	21	33
26623	4	360	268	9	5	-183	-548	229	21	33
26648	4	360	267	9	5	-183	-551	226	21	33
26673	4	360	267	9	4	-181	-551	229	21	33
26698	4	360	267	9	5	-184	-547	233	21	33
26723	4	360	267	9	5	-183	-548	230	21	33
26748	4	360	267	10	4	-182	-551	233	21	33
26773	4	360	268	9	4	-183	-550	230	21	33
26798	4	360	268	9	4	-180	-551	231	21	33
26823	4	360	267	9	4	-182	-550	227	21	33
26848	4	360	267	10	4	-183	-549	230	21	33
150	0	0	0	0	0	0	0	0	21	33
250	0	0	0	0	0	0	0	0	21	33
350	0	0	0	0	0	0	0	0	21	33
