Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
3760	5	168	0	0	0	-119	-119	-566	10	81
3876	5	168	0	0	0	-120	-91	-566	10	81
4490	5	176	0	0	0	-148	-108	-591	10	81
10796	5	184	0	0	0	-1	34	-374	10	80
10896	5	184	0	0	0	56	-7	-371	10	80
10996	5	184	0	0	0	40	2	-395	10	80
11096	5	184	0	0	0	14	8	-429	10	79
11197	5	184	0	0	0	5	8	-442	10	79
11312	5	184	0	0	0	-2	27	-433	10	79
12535	5	184	0	0	0	-164	-78	-535	10	80
12649	5	184	0	0	0	-285	-124	-537	10	80
12759	5	184	0	0	0	-300	-170	-543	10	80
12874	5	184	0	0	0	-300	-186	-545	10	80
12990	5	184	0	0	0	-344	-161	-535	10	80
13105	5	184	0	0	0	-377	-117	-515	10	81
13220	5	184	0	0	0	-391	-36	-483	10	81
13336	5	184	0	0	0	-384	-3	-475	10	81
13451	5	184	0	0	0	-378	0	-478	10	81
13566	5	184	0	0	0	-339	-163	-519	10	81
13682	5	184	0	0	0	-286	-191	-538	10	81
13784	5	184	0	0	0	-302	-199	-546	10	81
13784	5	184	0	0	0	-302	-199	-546	10	81
20258	5	184	0	0	0	-305	-154	-559	10	81
20373	5	184	0	0	0	-303	-156	-559	10	79
20489	5	184	0	0	0	-297	-161	-553	10	79
20591	5	184	0	0	0	-300	-160	-551	10	79
