Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
2750	0	0	0	0	0	0	0	0	0	0
2850	0	0	0	0	0	0	0	0	0	0
2950	0	0	0	0	0	0	0	0	0	0
3050	0	0	0	0	0	0	0	0	0	0
3150	0	0	0	0	0	0	0	0	0	0
3250	0	0	0	0	0	0	0	0	0	0
3361	0	352	0	0	0	0	0	0	0	0
3461	0	352	0	0	0	0	0	0	0	0
3561	0	352	200	11	2	-233	67	-134	0	0
3661	0	352	250	14	2	-407	117	-232	0	0
3761	0	352	262	14	3	-455	128	-259	20	38
3861	0	352	266	14	3	-465	130	-264	20	38
3961	0	352	267	14	3	-468	132	-263	20	38
4061	0	352	267	14	3	-470	134	-263	20	38
4161	0	352	268	14	2	-470	135	-260	20	38
4261	0	352	268	15	3	-473	138	-262	20	38
4361	0	352	268	18	17	-428	121	-282	20	38
4461	0	352	271	7	6	-393	-120	-477	20	38
4561	0	352	265	18	4	-398	-249	-493	20	38
4661	0	352	266	18	4	-400	-230	-543	20	38
4761	0	352	267	19	6	-397	-226	-558	20	38
4861	0	352	272	22	6	-409	-205	-563	20	38
4961	0	352	268	36	3	-429	-197	-563	20	38
5061	0	352	268	21	5	-400	-203	-568	20	38
5161	0	352	269	18	6	-393	-197	-577	20	38
5261	0	352	267	17	7	-396	-196	-583	20	38
5361	0	352	267	16	6	-395	-192	-582	20	38
5461	0	352	267	17	7	-395	-188	-580	20	38
5561	0	352	268	16	6	-396	-193	-579	20	38
5661	0	352	268	16	8	-396	-190	-580	20	38
5761	0	352	267	16	6	-394	-193	-575	20	38
5861	0	352	267	17	6	-392	-198	-577	20	38
