Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
850	0	0	0	0	0	0	0	0	0	0
950	0	0	0	0	0	0	0	0	0	0
1050	0	0	0	0	0	0	0	0	0	0
1150	0	0	0	0	0	0	0	0	0	0
1250	0	0	0	0	0	0	0	0	0	0
1350	0	0	0	0	0	0	0	0	0	0
1450	0	0	0	0	0	0	0	0	0	0
1550	0	0	0	0	0	0	0	0	0	0
1650	0	0	0	0	0	0	0	0	0	0
1750	0	0	0	0	0	0	0	0	0	0
1850	0	0	0	0	0	0	0	0	0	0
1960	0	376	0	0	0	0	0	0	22	37
2060	0	376	0	0	0	0	0	0	22	37
2160	0	368	0	0	0	0	0	0	22	37
2250	0	0	0	0	0	0	0	0	22	37
2350	0	0	73	182	50	0	0	0	22	37
2450	0	0	92	227	62	0	0	0	22	37
2560	0	368	96	239	65	0	0	0	22	37
2661	130	376	97	241	67	0	0	0	22	37
2761	126	368	98	242	67	0	0	0	22	37
2861	127	368	97	243	68	0	0	0	22	37
2961	125	376	97	242	66	0	0	0	22	37
3061	126	376	98	243	67	0	0	0	22	37
3161	126	376	98	243	67	0	0	0	22	37
3261	126	368	99	244	67	0	0	0	22	37
3362	126	368	98	244	68	0	0	0	22	37
3462	125	368	98	243	67	0	0	0	22	37
3562	126	376	98	243	67	0	0	0	22	37
3662	127	368	98	243	67	0	0	0	22	37
3762	125	376	97	243	67	0	0	0	22	37
3865	127	376	97	244	67	0	0	0	22	37
3966	126	368	98	243	67	0	0	0	22	37
4066	124	368	97	243	68	0	0	0	22	37
4169	126	376	99	243	66	0	0	0	22	37
4269	128	368	98	243	66	0	0	0	22	37
4369	126	368	99	243	66	0	0	0	22	37
4469	126	368	97	243	67	0	0	0	22	37
4570	126	368	98	243	67	0	0	0	22	37
4670	127	368	98	242	67	0	0	0	22	37
4769	127	368	98	242	67	0	0	0	22	37
4870	126	368	98	243	68	0	0	0	22	37
4970	125	368	98	243	67	0	0	0	22	37
5071	125	376	98	242	66	0	0	0	22	37
5171	126	368	98	242	67	0	0	0	22	37
5271	126	368	98	243	67	0	0	0	22	37
5371	126	368	97	242	67	0	0	0	22	37
5474	125	368	98	242	68	0	0	0	22	37
5577	129	368	97	243	68	0	0	0	22	37
5684	125	368	99	242	67	0	0	0	22	37
5784	126	368	98	242	68	0	0	0	22	37
5884	126	368	97	243	68	0	0	0	22	37
5984	126	368	98	243	68	0	0	0	22	37
