Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
1.6	4.301	13.134	-0.0151	-0.0559	-0.0195	43.02219	-41.14873	39.2198	-28.5537	0.005
2.75	5.22	13.134	-0.0151	-0.0559	-0.0195	38.75708	-64.42138	50.59989	-28.5537	0.005
3.91	5.22	13.134	-0.0151	-0.0559	-0.0195	38.7894	-70.29844	50.49009	-28.5537	0.005
5.06	5.22	13.134	-0.0151	-0.0559	-0.0195	38.53255	-72.40347	47.04001	-28.5537	0.005
6.22	5.22	13.134	-0.0151	-0.0559	-0.0195	48.26162	-56.29801	44.61177	-28.5537	0.005
7.24	5.22	13.134	-0.0151	-0.0559	-0.0195	50.11991	-54.27495	45.41212	-28.5537	0.005
8.32	5.22	13.134	-0.0151	-0.0559	-0.0195	51.26013	-54.47388	47.81627	-28.5537	0.005
9.39	5.22	13.134	-0.0151	-0.0559	-0.0195	46.86139	-62.71233	43.47367	-28.5537	0.005
10.55	5.22	13.134	-0.0151	-0.0559	-0.0195	47.20664	-58.48454	54.53208	-28.5537	0.005
11.55	5.22	13.134	-0.0151	-0.0559	-0.0195	40.27667	-68.4329	40.89098	-28.5537	0.005
12.55	5.22	13.134	-0.0151	-0.0559	-0.0195	31.88333	-72.1402	25.23957	-12.2826	72.935
13.7	5.22	13.134	-0.0151	-0.0559	-0.0195	25.58824	-72.3131	17.29061	-12.2826	72.935
14.72	5.22	13.134	-0.0151	-0.0559	-0.0195	41.29388	-64.42554	35.77076	-12.2826	72.935
15.75	5.22	13.134	-0.0151	-0.0559	-0.0195	46.5765	-61.49768	41.76574	-12.2826	72.935
16.77	5.22	12.6535	-0.0151	-0.0559	-0.0195	46.88415	-62.42192	39.29593	-12.2826	72.935
17.92	5.22	12.6535	-0.0151	-0.0559	-0.0195	46.74821	-61.81753	37.32754	-12.2826	72.935
642.52	234.051	-14.85512	-0.9504	-1.07347	-1.1032	-4.87529	-46.44558	26.56421	-12.2826	72.935
652.78	234.051	-14.85512	-0.9504	-1.07347	-1.1032	-4.9308	-46.42062	36.07396	-12.2826	72.935
652.78	234.051	-14.85512	-0.9504	-1.07347	-1.1032	-4.9308	-46.42062	36.07396	-12.2826	72.935
0.0	0.625	0.641	2.96498	-0.1204	-132.67803	23.18392	-4680.64314	-2086.38086	-12.2826	72.935
97.28	145.827	-14.85512	-0.95813	-1.07347	-1.10349	-4.9308	-46.42062	36.07396	-12.2826	72.935
652.78	234.051	-15.09537	-6.56155	128.10282	32.32521	-3537.12828	-2194.64782	112.86503	-12.2826	72.935
0.0	0.625	-18.21862	-79.18027	0.5136	-2.9452	31.84389	-9.20646	72.77127	-12.2826	72.935
79.34	234.051	-476.13512	-67.11475	-3.40242	-3.55877	8.93846	-2515.5194	-59.93605	-12.2826	72.935
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-12.2826	72.935
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-12.2826	72.935
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	19.97271	2382.02931	-102.29356	-12.2826	72.935
1.28	0.625	0.641	-23.79635	0.95766	-0.89528	31.84389	-9.20646	72.77127	-12.2826	72.935
78.08	118.257	0.641	4.40191	-121.25144	6.05025	32.36027	-67.162	37.74306	-12.2826	72.935
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-12.2826	72.935
652.78	234.051	-14.85512	-0.9504	-1.07347	-1.1032	-2.58984	-509.25992	62.53757	-12.2826	72.935
0.0	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-12.2826	72.935
616.94	0.625	0.641	0.47956	-0.0563	-0.00121	-41.45205	-44.73381	18.85726	-12.2826	72.935
652.78	234.051	-14.85512	-0.9504	-1.07347	-1.1032	-4.9308	-46.42062	36.07396	-12.2826	72.935
