Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
27.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
28.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
29.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
30.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
31.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
32.5	0.625	0.641	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
33.61	0.625	21.783	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
34.61	0.625	21.783	-0.0151	-0.0559	-0.0195	31.84389	-9.20646	72.77127	-28.5537	0.005
35.61	0.625	21.783	0.756	-0.01313	0.01728	-1.68183	2.42317	51.75595	-28.5537	0.005
36.61	0.625	21.783	0.94878	-0.00145	0.02445	-26.71997	11.10359	36.36978	-28.5537	0.005
37.61	0.625	21.783	0.99506	-0.00149	0.03022	-33.62495	13.07738	32.1545	7.6043	32.609
38.61	0.625	21.783	1.01052	-0.0015	0.03079	-35.06381	13.44489	31.3717	7.6043	32.609
39.61	0.625	21.783	1.01439	-0.0015	0.03093	-35.4987	13.76705	31.49627	7.6043	32.609
40.61	0.625	21.783	1.01439	-0.0015	0.03093	-35.78855	14.082	31.47452	7.6043	32.609
41.61	0.625	21.783	1.01834	-0.00151	0.02702	-35.79192	14.23383	31.91168	7.6043	32.609
42.61	0.625	21.783	1.0181	0.00244	0.03108	-36.22497	14.70548	31.58187	7.6043	32.609
43.61	0.625	21.783	1.01638	0.0143	0.08779	-29.70716	11.82981	28.85832	7.6043	32.609
44.61	0.625	21.783	1.03061	-0.02912	0.04358	-24.30855	-24.79468	2.03858	7.6043	32.609
45.61	0.625	21.783	1.00597	0.01429	0.03473	-24.91721	-44.20249	0.7611	7.6043	32.609
46.61	0.625	21.783	1.00984	0.01428	0.03487	-25.17666	-41.34575	-6.83659	7.6043	32.609
47.61	0.625	21.783	1.01337	0.01823	0.04312	-24.7342	-40.76939	-9.09311	7.6043	32.609
48.61	0.625	21.783	1.03225	0.03005	0.04386	-26.47587	-37.52564	-10.04411	7.6043	32.609
49.61	0.625	21.783	1.01499	0.08529	0.03127	-29.3653	-36.18407	-10.15827	7.6043	32.609
50.61	0.625	21.783	1.01703	0.02612	0.03923	-25.17555	-37.28758	-10.78392	7.6043	32.609
51.61	0.625	21.783	1.02125	0.01428	0.0434	-24.16315	-36.4348	-12.15708	7.6043	32.609
52.61	0.625	21.783	1.01358	0.01034	0.04715	-24.59121	-36.26604	-13.06402	7.6043	32.609
53.61	0.625	21.783	1.01382	0.0064	0.04309	-24.45096	-35.6698	-12.94763	7.6043	32.609
54.61	0.625	21.783	1.01358	0.01034	0.04715	-24.45574	-35.06637	-12.68491	7.6043	32.609
55.61	0.625	21.783	1.01768	0.00639	0.04324	-24.59697	-35.81248	-12.49551	7.6043	32.609
56.61	0.625	21.783	1.0175	0.0064	0.05133	-24.59838	-35.36088	-12.66994	7.6043	32.609
57.61	0.625	21.783	1.01382	0.0064	0.04309	-24.3121	-35.82455	-11.89662	7.6043	32.609
58.61	0.625	21.783	1.01367	0.01034	0.0431	-24.01822	-36.59228	-12.14621	7.6043	32.609
