Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
0	0	0	0	0	0	0	0	0	22	36
7878	0	0	-4	-503	191	0	0	0	22	35
14180	0	0	186	5436	-19	0	0	0	22	35
14280	0	0	45	1358	-5	0	0	0	22	35
14710	0	0	144	344	7	0	0	0	22	35
14810	0	0	35	85	1	0	0	0	22	35
14910	0	0	8	20	0	0	0	0	22	35
15010	0	0	1	4	0	0	0	0	22	35
15110	0	0	0	0	0	0	0	0	22	35
15210	0	0	0	0	0	0	0	0	22	35
15310	0	0	0	0	0	0	0	0	22	35
15410	0	0	0	0	0	0	0	0	22	35
15510	0	0	0	0	0	0	0	0	22	35
15610	0	0	0	0	0	0	0	0	22	35
15710	0	0	0	0	114	0	0	0	22	35
15810	0	0	0	0	27	0	0	0	22	35
15910	0	0	0	0	6	0	0	0	22	35
16010	0	0	0	0	0	0	0	0	22	35
16110	0	0	0	0	0	0	0	0	22	35
16210	0	0	0	0	0	0	0	0	22	35
16310	0	0	0	0	0	0	0	0	22	35
16410	0	0	0	0	0	0	0	0	22	35
16510	0	0	0	0	0	0	0	0	22	35
16610	0	0	0	0	0	0	0	0	22	35
16710	0	0	0	0	0	0	0	0	22	35
16810	0	0	0	0	0	0	0	0	22	35
16910	0	0	0	0	0	0	0	0	22	35
17010	0	0	0	0	0	0	0	0	22	35
17110	0	0	0	0	0	0	0	0	22	35
