Time	Distance_mm	Temp_C	AccX_g	AccY_g	AccZ_g	MagX	MagY	MagZ	Ground_T	Ground_H
152.14	0.625	0.641	-0.0151	-0.0559	-0.0195	-10.17835	-15.39166	-7.38085	-28.5537	0.005
153.19	0.625	0.641	-0.0151	-0.0559	-0.0195	-9.74748	-15.26105	-7.23409	-28.5537	0.005
154.22	0.625	0.641	-0.0151	-0.0559	-0.0195	-10.32307	-14.93364	-7.70614	-28.5537	0.005
155.22	0.625	0.641	-0.0151	-0.0559	-0.0195	-10.17901	-15.09073	-7.54667	-28.5537	0.005
156.26	0.625	0.641	-0.0151	-0.0559	-0.0195	-9.17137	-14.83709	-7.54806	-28.5537	0.005
157.33	0.625	0.641	-0.0151	-0.0559	-0.0195	-8.59286	-14.71485	-7.9934	-28.5537	0.005
158.35	0.625	0.641	-0.0151	-0.0559	-0.0195	-9.31553	-14.83028	-7.55033	-28.5537	0.005
159.35	0.625	0.641	-0.0151	-0.0559	-0.0195	-8.88619	-14.39833	-7.42079	-28.5537	0.005
160.35	0.625	0.641	-0.0151	-0.0559	-0.0195	-9.02959	-14.54218	-7.41444	-28.5537	0.005
161.35	0.625	0.641	-0.0151	-0.0559	-0.0195	-9.60539	-14.51532	-7.57208	-28.5537	0.005
162.35	0.625	0.641	-0.0151	-0.0559	-0.0195	-8.88532	-14.39872	-7.56938	-28.5537	0.005
163.35	0.625	0.641	-0.0151	-0.0559	-0.0195	-9.03133	-14.5414	-7.11726	-12.2826	73.793
164.4	0.625	0.641	-0.0151	-0.0559	-0.0195	-8.73908	-15.15808	-7.22687	-12.2826	73.793
1.6	4.301	9.29	-0.0151	-0.0559	-0.0195	-4.43986	-31.13458	11.87347	-12.2826	72.935
2.73	4.301	9.29	-0.0151	-0.0559	-0.0195	-13.83604	-36.90154	-2.93022	-14.0905	72.935
3.88	4.301	9.29	-0.0151	-0.0559	-0.0195	-16.11483	-37.85732	-6.76945	-14.0905	72.935
5.04	4.301	9.29	-0.0151	-0.0559	-0.0195	-16.83067	-38.12614	-7.35789	-14.0905	72.935
6.06	4.301	9.29	-0.0151	-0.0559	-0.0195	-16.8298	-38.12653	-7.50648	-14.0905	72.935
7.09	4.301	9.29	-0.0151	-0.0559	-0.0195	-17.12008	-38.41267	-6.89942	-14.0905	72.935
8.11	4.301	9.29	-0.0151	-0.0559	-0.0195	-16.54428	-38.43954	-6.74178	-14.0905	72.935
9.26	4.301	9.29	-0.0151	-0.0559	-0.0195	-16.68584	-38.43389	-7.18981	-14.0905	72.935
10.42	4.301	9.29	-0.0151	-0.0559	-0.0195	-16.83056	-37.97587	-7.51509	-12.2826	72.935
11.57	4.301	9.29	-0.0151	-0.0559	-0.0195	-16.54049	-37.99027	-7.80775	-12.2826	72.935
12.66	4.301	9.29	-0.0151	-0.0559	-0.0195	-16.8297	-37.97626	-7.66368	-12.2826	72.935
