Time	Raw_Distance	Raw_Temp	Raw_AccX	Raw_AccY	Raw_AccZ	Raw_MagX	Raw_MagY	Raw_MagZ	Raw_Ground_T	Raw_Ground_H
36732	4	264	264	5	36	-445	-113	-455	0	0
36832	4	264	265	4	36	-444	-118	-454	0	0
36932	4	264	265	4	34	-448	-117	-452	0	0
37032	4	264	264	4	31	-449	-121	-456	0	0
0	0	0	0	0	0	0	0	0	0	0
37132	4	264	265	2	32	-445	-121	-457	0	0
37232	4	264	266	4	33	-450	-126	-456	0	0
37332	4	264	265	4	29	-447	-120	-455	0	0
37432	4	264	267	2	31	-443	-118	-457	0	0
37432	4	264	267	2	31	-443	-118	-457	0	0
37532	4	256	265	2	34	-443	-118	-457	0	0
37632	4	256	264	1	35	-446	-118	-459	0	0
37732	4	256	266	1	35	-448	-119	-457	17	42
37832	4	256	266	2	35	-446	-117	-456	17	42
37932	4	264	267	3	38	-447	-119	-456	17	42
38032	4	256	267	15	25	-438	-123	-458	17	42
38132	4	256	255	21	33	-422	-138	-462	17	42
38232	4	264	274	12	2	-451	-156	-461	17	42
38332	4	256	259	14	14	-437	-138	-461	17	42
38432	4	256	250	-2	-8	-439	-158	-465	17	42
38532	4	256	277	-5	0	-427	-164	-469	17	42
38632	4	256	263	-14	-12	-430	-177	-470	17	42
38732	4	264	254	-56	-20	-365	-179	-471	17	42
38832	4	256	206	-130	12	-246	-161	-435	17	42
38832	4	256	206	-130	12	-246	-161	-435	17	42
38832	4	256	206	-130	12	-246	-161	-435	17	42
38832	4	256	206	-130	12	-246	-161	-435	17	42
38832	4	256	206	-130	12	-246	-161	-435	17	42
38832	4	256	206	-130	12	-246	-161	-435	17	42
38832	4	256	206	-130	12	-246	-161	-435	17	42
38832	4	256	206	-130	12	-246	-161	-435	17	42
38945	4	264	146	-191	24	-146	-131	-370	17	42
38945	4	264	146	-191	24	-146	-131	-370	17	42
39045	4	256	129	-211	19	-114	-134	-343	17	42
39045	4	256	129	-211	19	-114	-134	-343	17	42
39045	4	256	129	-211	19	-114	-134	-343	17	42
39145	4	256	130	-209	14	-113	-145	-350	17	42
39145	4	256	130	-209	14	-113	-145	-350	17	42
39245	4	264	132	-209	11	-114	-150	-354	17	42
39345	4	264	129	-214	8	-109	-153	-347	17	42
39445	4	264	124	-215	-5	-97	-168	-343	17	42
39545	4	264	119	-216	-8	-97	-174	-342	17	42
39645	4	264	118	-218	-8	-98	-169	-344	17	42
39745	4	264	119	-218	-10	-97	-171	-337	17	42
39845	4	264	121	-217	-7	-99	-165	-338	17	42
39945	4	264	229	-81	15	-321	-147	-432	17	42
40045	4	264	250	26	15	-464	-151	-437	17	42
40145	4	264	250	63	15	-508	-144	-428	17	42
40245	4	264	247	38	18	-362	-125	-447	17	42
40345	4	264	247	70	25	-363	-150	-463	17	42
40445	4	264	272	42	41	-317	-170	-466	17	42
40445	4	264	272	42	41	-317	-170	-466	17	42
40545	4	264	268	26	36	-298	-186	-467	17	42
40645	4	264	268	21	34	-291	-189	-463	17	42
40745	4	264	266	22	27	-292	-199	-463	17	42
40845	4	264	268	21	26	-297	-193	-464	17	42
40945	4	264	267	23	26	-296	-198	-463	17	42
40945	4	264	267	23	26	-296	-198	-463	17	42
41045	4	264	264	25	21	-292	-201	-465	17	42
41145	4	264	270	31	26	-293	-185	-465	17	42
41245	4	264	264	43	51	-288	-153	-457	17	42
41345	4	264	269	40	39	-316	-133	-458	17	42
41445	4	264	247	71	41	-360	-121	-461	17	42
41545	4	264	246	84	58	-374	-116	-463	17	42
41645	4	264	259	82	53	-384	-122	-464	17	42
41745	4	264	242	97	40	-414	-120	-456	17	43
41845	4	264	242	100	50	-405	-136	-463	17	43
41945	4	264	241	114	20	-427	-147	-461	17	43
42045	4	264	251	114	33	-431	-143	-459	17	43
42145	4	264	248	117	34	-439	-149	-460	17	43
42245	4	264	238	138	30	-447	-143	-456	17	43
42345	4	264	224	147	30	-455	-145	-455	17	43
42445	4	264	233	139	21	-458	-135	-459	17	43
42545	4	264	239	144	34	-477	-135	-450	17	43
42645	4	264	241	165	37	-474	-139	-448	17	43
42745	4	264	247	120	25	-471	-129	-448	17	42
42845	4	264	225	145	44	-472	-145	-454	17	42
42845	4	264	225	145	44	-472	-145	-454	17	42
42845	4	264	225	145	44	-472	-145	-454	17	42
42845	4	264	225	145	44	-472	-145	-454	17	42
42950	4	264	208	163	28	-489	-165	-451	17	42
0	0	0	0	0	0	0	0	0	17	42
43050	4	264	257	117	14	-445	-159	-459	17	42
43150	4	264	253	75	44	-347	-161	-462	17	42
43250	4	264	288	41	46	-316	-168	-462	17	42
43350	4	264	281	18	22	-318	-155	-468	17	42
43350	4	264	281	18	22	-318	-155	-468	17	42
43450	4	264	255	34	41	-332	-159	-465	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	42
43550	4	264	257	54	30	-334	-157	-468	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43665	4	264	257	55	38	-342	-169	-473	17	43
43770	4	264	260	58	31	-349	-191	-472	17	43
43870	4	264	262	68	33	-354	-166	-473	17	43
43870	4	264	262	68	33	-354	-166	-473	17	43
43870	4	264	262	68	33	-354	-166	-473	17	43
43870	4	264	262	68	33	-354	-166	-473	17	43
43870	4	264	262	68	33	-354	-166	-473	17	43
43983	4	264	268	81	19	-388	-138	-463	17	43
43983	4	264	268	81	19	-388	-138	-463	17	43
43983	4	264	268	81	19	-388	-138	-463	17	43
43983	4	264	268	81	19	-388	-138	-463	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44089	4	264	261	81	24	-380	-133	-467	17	43
44204	4	264	254	85	34	-381	-154	-471	17	43
44304	4	264	256	80	25	-377	-162	-471	17	43
44304	4	264	256	80	25	-377	-162	-471	17	43
44304	4	264	256	80	25	-377	-162	-471	17	43
44304	4	264	256	80	25	-377	-162	-471	17	43
44304	4	264	256	80	25	-377	-162	-471	17	43
44417	4	264	254	87	29	-386	-170	-473	17	43
44517	4	264	244	87	13	-386	-146	-470	17	43
44617	4	264	253	92	52	-374	-124	-462	17	43
44717	4	264	262	67	38	-360	-125	-464	17	42
44817	4	264	260	58	15	-366	-128	-464	17	42
44917	4	264	260	42	0	-439	-145	-458	17	42
45017	4	264	263	34	2	-467	-158	-457	17	42
45117	4	264	263	29	4	-470	-158	-457	17	42
45217	4	264	266	26	3	-468	-157	-457	17	42
45317	4	264	266	26	3	-468	-160	-453	17	42
45417	4	264	267	24	4	-468	-160	-454	17	42
45417	4	264	267	24	4	-468	-160	-454	17	42
45517	4	264	268	22	3	-466	-157	-458	17	42
45617	4	264	268	24	2	-469	-157	-457	17	42
45717	4	264	268	30	1	-474	-162	-456	17	42
45817	4	264	269	31	-3	-473	-162	-462	17	42
45917	4	264	264	28	-1	-470	-164	-460	17	42
46017	4	264	265	18	4	-457	-170	-465	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
65278	0	32256	-258	-258	-258	-258	-258	-258	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
65278	254	-258	-258	-258	-258	-258	-258	-258	17	42
65278	254	-258	-258	-258	-258	-258	-258	-258	17	42
46117	4	8	213	-7790	-32523	-393	0	76	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
0	0	640	-258	-258	128	0	0	-498	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
65278	254	-258	-258	-258	-258	-258	-258	-258	17	42
65278	254	-258	-258	-258	-258	-258	-258	-258	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
0	0	0	0	0	-32738	0	0	0	17	42
65054	254	7920	-258	-258	-258	-258	-258	-258	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
65278	254	-258	-32002	-258	-258	-258	-258	-258	17	42
65278	254	-258	-258	-258	-258	-258	-258	-258	17	42
65278	254	-258	-258	-258	-258	-258	-258	-258	17	42
65278	254	-258	-258	-258	-258	-258	-258	-258	17	42
0	0	0	-512	-258	-258	-258	-258	-258	17	42
0	0	0	0	0	0	512	0	0	17	42
0	0	-450	-258	128	-512	-258	-258	-258	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
65030	254	-258	-258	0	0	0	0	0	17	42
0	0	-258	-258	-258	-258	-258	-258	-258	17	42
0	0	0	0	0	0	0	0	0	17	42
0	0	0	0	0	-354	-258	0	0	17	42
46117	4	264	213	-110	-11	-265	-186	-434	17	42
